id_lokasi;kode_node;nama_lokasi;latitude;longitude;volume;jenis
410;tps_410;jalan stadion gelora mandiri;-4.035271;119.642304;76;TPS
411;tps_411;jalan stadion gelora mandiri;-4.035381;119.642689;86;TPS
412;tps_412;jalan stadion gelora mandiri;-4.035383;119.642891;47;TPS
413;tps_413;jalan stadion gelora mandiri;-4.035421;119.643076;74;TPS
414;tps_414;jalan stadion gelora mandiri;-4.035732;119.643076;58;TPS
415;tps_415;jalan stadion gelora mandiri;-4.035944;119.643063;70;TPS
416;tps_416;jalan stadion gelora mandiri;-4.036068;119.643414;50;TPS
417;tps_417;jalan stadion gelora mandiri;-4.036046;119.643635;94;TPS
418;tps_418;jalan stadion gelora mandiri;-4.036243;119.643838;48;TPS
419;tps_419;jalan stadion gelora mandiri;-4.036385;119.644012;87;TPS
420;tps_420;jalan stadion gelora mandiri;-4.036626;119.644102;95;TPS
421;tps_421;jalan stadion gelora mandiri;-4.036656;119.644519;91;TPS
422;tps_422;jalan stadion gelora mandiri;-4.036619;119.644829;99;TPS
423;tps_423;jalan stadion gelora mandiri;-4.036234;119.644839;88;TPS
424;tps_424;jalan stadion gelora mandiri;-4.035431;119.64487;83;TPS
425;tps_425;jalan stadion gelora mandiri;-4.035041;119.644906;81;TPS
426;tps_426;jalan stadion gelora mandiri;-4.034644;119.645019;95;TPS
427;tps_427;jalan stadion gelora mandiri;-4.034343;119.645171;51;TPS
428;tps_428;jalan stadion gelora mandiri;-4.033959;119.645454;45;TPS
429;tps_429;jalan stadion gelora mandiri;-4.033568;119.645731;64;TPS
430;tps_430;jalan chalik;-4.04177;119.628519;30;TPS
431;tps_431;jalan chalik;-4.041917;119.628279;81;TPS
432;tps_432;jalan chalik;-4.041985;119.62813;53;TPS
433;tps_433;jalan chalik;-4.042156;119.627718;77;TPS
434;tps_434;jalan chalik;-4.042284;119.627448;43;TPS
435;tps_435;jalan chalik;-4.042467;119.627057;100;TPS
436;tps_436;jalan chalik;-4.042453;119.626655;41;TPS
437;tps_437;jalan chalik;-4.042304;119.626496;50;TPS
438;tps_438;jalan chalik;-4.042007;119.625922;100;TPS
439;tps_439;jalan chalik;-4.042087;119.625423;38;TPS
440;tps_440;jalan h abd djabbar d;-4.041228;119.625648;42;TPS
441;tps_441;jalan h abd djabbar d;-4.041309;119.625903;45;TPS
442;tps_442;jalan h abd djabbar d;-4.041553;119.625973;55;TPS
443;tps_443;jalan h abd djabbar d;-4.041945;119.626022;46;TPS
444;tps_444;jalan taman makam pahlawan;-4.042054;119.62611;32;TPS
445;tps_445;jalan taman makam pahlawan;-4.042581;119.626249;83;TPS
446;tps_446;jalan taman makam pahlawan;-4.043351;119.626473;79;TPS
447;tps_447;jalan taman makam pahlawan;-4.043628;119.626562;92;TPS
448;tps_448;jalan taman makam pahlawan;-4.04402;119.626678;64;TPS
449;tps_449;jalan batasannya;-4.04253;119.626595;33;TPS
450;tps_450;jalan batasannya;-4.043067;119.626832;38;TPS
451;tps_451;jalan batasannya;-4.04326;119.62692;68;TPS
452;tps_452;jalan batasannya;-4.043638;119.627079;49;TPS
453;tps_453;jalan batasannya;-4.044001;119.627071;45;TPS
454;tps_454;jalan diamis;-4.042925;119.625205;33;TPS
455;tps_455;jalan diamis;-4.04322;119.625199;49;TPS
456;tps_456;jalan diamis;-4.043346;119.62519;99;TPS
457;tps_457;jalan diamis;-4.043587;119.625166;87;TPS
458;tps_458;jalan diamis;-4.043835;119.625141;51;TPS
459;tps_459;jalan diamis;-4.044338;119.625075;65;TPS
460;tps_460;jalan mattirotasi baru;-4.038369;119.625625;34;TPS
461;tps_461;jalan mattirotasi baru;-4.038436;119.62552;83;TPS
462;tps_462;jalan mattirotasi baru;-4.038642;119.62531;91;TPS
463;tps_463;jalan mattirotasi baru;-4.038796;119.625163;63;TPS
464;tps_464;jalan mattirotasi baru;-4.038907;119.625089;68;TPS
465;tps_465;jalan mattirotasi baru;-4.039272;119.624952;66;TPS
466;tps_466;jalan mattirotasi baru;-4.039901;119.624762;70;TPS
467;tps_467;jalan mattirotasi baru;-4.040306;119.624656;38;TPS
468;tps_468;jalan mattirotasi baru;-4.040904;119.624525;57;TPS
469;tps_469;jalan mattirotasi baru;-4.041609;119.624386;58;TPS
470;tps_470;jalan mattirotasi baru;-4.041879;119.624335;76;TPS
471;tps_471;jalan mattirotasi baru;-4.042643;119.624186;74;TPS
472;tps_472;jalan mattirotasi baru;-4.044469;119.623714;51;TPS
473;tps_473;jalan mattirotasi baru;-4.044018;119.623821;47;TPS
474;tps_474;jalan mattirotasi baru;-4.043631;119.623924;72;TPS
475;tps_475;jalan mattirotasi baru;-4.043439;119.623976;80;TPS
476;tps_476;jalan h m jubair;-4.044528;119.623821;47;TPS
477;tps_477;jalan h m jubair;-4.044561;119.624138;95;TPS
478;tps_478;jalan h m jubair;-4.044608;119.624468;60;TPS
479;tps_479;jalan h m jubair;-4.044718;119.625076;100;TPS
480;tps_480;jalan h m jubair;-4.044767;119.625397;46;TPS
481;tps_481;jalan h m jubair;-4.044827;119.625743;66;TPS
482;tps_482;jalan h m jubair;-4.044867;119.626377;95;TPS
483;tps_483;jalan latasakka;-4.051709;119.618509;50;TPS
484;tps_484;jalan latasakka;-4.051009;119.618814;64;TPS
485;tps_485;jalan latasakka;-4.049346;119.622698;86;TPS
486;tps_486;jalan latasakka;-4.049213;119.623025;72;TPS
487;tps_487;jalan latasakka;-4.048476;119.624623;77;TPS
488;tps_488;jalan latasakka;-4.048508;119.625295;72;TPS
489;tps_489;jalan latasakka;-4.047785;119.627556;91;TPS
490;tps_490;jalan kebun sayur;-4.004702;119.630376;92;TPS
491;tps_491;jalan andi sinta;-4.007506;119.628912;65;TPS
492;tps_492;jalan andi sinta;-4.006235;119.629070;65;TPS
493;tps_493;jalan andi sinta;-4.005323;119.628917;90;TPS
494;tps_494;jalan pasar lakessi;-4.006573;119.627576;97;TPS
495;tps_495;jalan pasar lakessi;-4.006948;119.627783;69;TPS
496;tps_496;jalan muhammadiyah;-4.006510;119.629927;87;TPS
497;tps_497;jalan muhammadiyah;-4.006679;119.631074;74;TPS
498;tps_498;jalan panti asuhan;-4.005844;119.630741;93;TPS
499;tps_499;jalan panti asuhan;-4.006589;119.631286;77;TPS
500;tps_500;jalan lamihade;-4.020838;119.651812;71;TPS
